CustomerID,Date,Product Type,Channel Type,Order Amount
0050,7/29/2024,Skincare,Offline,5324
0051,06-09-2023,BodyCare,Offline,10547
0052,01-01-2024,Makeup,Online,9957
0053,08-12-2024,Skincare,Online,10453
0054,01-07-2023,BodyCare,Online,2138
0055,11/24/2023,Makeup,Online,2401
0056,04-02-2023,Skincare,Online,9225
0057,6/28/2024,Makeup,Offline,1907
0058,11/17/2024,Makeup,Online,3914
0059,8/25/2024,Skincare,Online,5438
0060,01-03-2024,Makeup,Online,6585
0061,10/16/2023,Makeup,Offline,9004
0062,2/14/2024,Makeup,Online,5683
0063,12-08-2023,Haircare,Online,5835
0064,3/26/2024,Makeup,Online,3869
0065,1/13/2024,Makeup,Online,4871
0066,3/22/2024,Makeup,Online,1370
0067,01-06-2023,Makeup,Online,3189
0068,11-08-2023,Skincare,Online,8692
0069,3/16/2024,Makeup,Offline,7836
0070,5/25/2023,Makeup,Offline,3491
0071,9/27/2024,Skincare,Online,1518
0072,12-12-2023,Skincare,Online,5035
0073,5/28/2024,BodyCare,Online,9698
0074,4/29/2023,Makeup,Online,4339
0075,05-07-2024,Makeup,Offline,10368
0076,6/20/2023,Makeup,Online,2652
0077,02-12-2023,Makeup,Online,7498
0078,1/22/2023,Skincare,Online,10497
0079,04-08-2023,Haircare,Offline,7190
0080,9/15/2023,Makeup,Online,9803
0081,11/29/2023,Skincare,Offline,2218
0082,10-10-2023,Makeup,Online,6706
0083,05-10-2024,Makeup,Online,1583
0084,11/26/2024,Haircare,Online,4241
0085,9/20/2023,Makeup,Online,5760
0086,9/27/2023,Makeup,Online,2879
0087,06-12-2024,Skincare,Online,7953
0088,3/28/2024,Makeup,Online,908
0089,9/13/2024,Makeup,Online,6975
0090,10-08-2023,Makeup,Online,7492
0091,1/28/2023,Skincare,Online,547
0092,10/26/2023,Makeup,Online,9524
0093,8/16/2023,BodyCare,Offline,2896
0094,7/22/2023,Makeup,Online,4001
0095,08-08-2023,Skincare,Online,3896
0096,08-02-2023,BodyCare,Offline,3876
0097,02-09-2023,Skincare,Online,4847
0098,07-12-2023,Makeup,Offline,2385
0099,8/29/2023,Makeup,Online,1945
0100,09-06-2023,Makeup,Online,6751
0101,10/30/2024,Makeup,Online,979
0102,09-02-2024,Makeup,Online,8541
0103,5/14/2024,Skincare,Online,7252
0104,4/28/2024,Makeup,Online,1736
0105,1/13/2024,Skincare,Online,10948
0106,02-10-2023,BodyCare,Online,9089
0107,01-12-2024,Makeup,Online,713
0108,1/16/2024,Skincare,Online,6471
0109,8/17/2024,Haircare,Offline,9032
0110,10-07-2024,BodyCare,Offline,4878
0111,02-04-2024,Skincare,Offline,1178
0112,02-10-2023,Skincare,Online,2075
0113,04-11-2024,Makeup,Online,7417
0114,09-10-2024,BodyCare,Offline,621
0115,5/28/2024,Makeup,Online,501
0116,8/21/2024,Makeup,Offline,8979
0117,01-12-2023,Haircare,Online,1802
0118,11-06-2023,Skincare,Online,1068
0119,11/13/2024,Makeup,Online,2127
0120,6/24/2024,Skincare,Online,4263
0121,06-11-2024,Makeup,Online,3290
0122,03-06-2024,Makeup,Online,10035
0123,08-08-2024,Skincare,Offline,9760
0124,10-03-2023,Makeup,Online,6577
0125,04-07-2023,Skincare,Online,8563
0126,5/31/2023,BodyCare,Online,9731
0127,8/20/2024,Haircare,Online,4073
0128,3/15/2023,Haircare,Online,10612
0129,2/18/2024,BodyCare,Online,4062
0130,11/25/2023,Makeup,Offline,9433
0131,08-01-2024,Makeup,Online,1215
0132,10/31/2023,Makeup,Offline,5531
0133,3/14/2024,BodyCare,Offline,2609
0134,8/24/2024,BodyCare,Online,1770
0135,1/16/2024,Haircare,Offline,9836
0136,4/19/2024,Makeup,Offline,7818
0137,09-08-2023,Makeup,Online,9219
0138,7/15/2024,Skincare,Online,5133
0139,02-02-2024,Haircare,Offline,6094
0140,7/23/2024,Makeup,Online,672
0141,4/13/2024,Makeup,Online,1410
0142,8/29/2023,Makeup,Online,3693
0143,12-12-2023,Makeup,Online,9295
0144,8/29/2024,Haircare,Online,939
0145,07-08-2024,Skincare,Online,6556
0146,4/20/2024,Makeup,Online,1786
0147,4/30/2023,BodyCare,Online,2798
0148,10-01-2024,Makeup,Offline,8193
0149,02-04-2023,Makeup,Online,1267
0150,03-01-2024,Makeup,Offline,3693
0151,08-12-2023,Makeup,Offline,1078
0152,08-04-2023,Skincare,Online,7433
0153,3/13/2024,Makeup,Online,5301
0154,05-07-2023,Skincare,Online,5200
0155,2/14/2023,Skincare,Online,8827
0156,09-01-2024,BodyCare,Online,8390
0157,09-10-2024,Makeup,Online,6325
0158,7/17/2024,Makeup,Online,2858
0159,4/26/2023,Makeup,Online,3220
0160,01-03-2023,Skincare,Offline,666
0161,10/26/2024,Skincare,Online,2399
0162,9/21/2024,Makeup,Offline,10245
0163,03-11-2023,Haircare,Online,6276
0164,8/14/2024,Makeup,Offline,4593
0165,01-02-2024,Makeup,Online,2212
0166,11-02-2024,Makeup,Online,2897
0167,04-09-2023,Skincare,Online,4090
0168,4/27/2023,Makeup,Online,10085
0169,4/27/2024,Makeup,Offline,1530
0170,3/26/2024,Skincare,Offline,9630
0171,1/22/2024,Skincare,Offline,6258
0172,8/28/2023,Skincare,Offline,2051
0173,9/17/2023,Makeup,Online,5808
0174,9/19/2024,BodyCare,Online,5437
0175,6/17/2023,Skincare,Offline,1744
0176,3/31/2023,Skincare,Online,590
0177,08-07-2023,Skincare,Online,8315
0178,7/19/2023,Makeup,Online,5472
0179,08-10-2023,BodyCare,Online,10644
0180,2/25/2024,Haircare,Offline,1800
0181,06-11-2023,Makeup,Offline,5587
0182,02-04-2023,Skincare,Online,7486
0183,8/26/2023,Skincare,Offline,2000
0184,03-03-2024,Makeup,Online,6326
0185,08-05-2023,Haircare,Offline,6965
0186,3/28/2024,Haircare,Online,7773
0187,06-11-2023,BodyCare,Offline,4923
0188,03-05-2023,Makeup,Offline,5585
0189,5/29/2024,Makeup,Online,4495
0190,1/17/2024,Makeup,Online,9606
0191,4/30/2023,Skincare,Offline,10541
0192,3/13/2023,Haircare,Online,6947
0193,10-09-2024,Makeup,Online,6431
0194,02-11-2023,BodyCare,Online,7601
0195,6/14/2024,Haircare,Offline,6829
0196,02-02-2024,Makeup,Online,8141
0197,6/19/2024,Skincare,Online,7507
0198,04-01-2023,Makeup,Online,8691
0199,8/29/2023,Skincare,Offline,557
0200,10-12-2024,Skincare,Online,7909
0201,08-03-2023,Makeup,Offline,1198
0202,7/28/2024,Makeup,Online,2307
0203,06-10-2024,BodyCare,Online,7723
0204,9/28/2023,Skincare,Online,3388
0205,07-05-2023,Skincare,Offline,4915
0206,01-09-2024,Makeup,Offline,5379
0207,6/17/2023,BodyCare,Online,8620
0208,7/19/2024,Haircare,Online,2608
0209,9/17/2024,Skincare,Offline,2777
0210,11-04-2023,Makeup,Online,4412
0211,7/15/2023,Makeup,Offline,10939
0212,6/14/2024,BodyCare,Online,6426
0213,6/21/2023,Makeup,Online,2937
0214,6/15/2024,Skincare,Online,3445
0215,1/27/2024,Skincare,Online,6563
0216,3/13/2024,Makeup,Online,4597
0217,6/17/2023,Makeup,Offline,6708
0218,4/28/2023,Makeup,Online,4943
0219,6/24/2024,Makeup,Online,4855
0220,4/13/2024,Makeup,Online,9526
0221,12/30/2023,Makeup,Online,6987
0222,11/30/2023,Makeup,Online,9212
0223,01-07-2023,Makeup,Online,2047
0224,11/26/2024,Makeup,Offline,2200
0225,7/31/2024,Makeup,Online,7280
0226,9/30/2023,Skincare,Online,2551
0227,4/22/2023,Skincare,Online,9000
0228,6/23/2024,Skincare,Online,10602
0229,10-11-2024,Skincare,Online,9882
0230,10-10-2023,Skincare,Online,6634
0231,11/13/2024,Makeup,Online,1624
0232,05-06-2024,Makeup,Online,1569
0233,05-08-2024,Skincare,Offline,3539
0234,3/14/2023,Makeup,Online,5245
0235,2/17/2023,BodyCare,Offline,3376
0236,04-05-2023,Makeup,Online,7700
0237,10-03-2023,Skincare,Offline,3716
0238,8/19/2023,Skincare,Online,10123
0239,02-12-2024,Skincare,Online,7711
0240,6/13/2023,Skincare,Online,2154
0241,4/21/2024,Skincare,Online,9265
0242,05-10-2024,BodyCare,Online,9015
0243,3/23/2024,Makeup,Offline,1422
0244,2/29/2024,Makeup,Online,4276
0245,09-10-2024,Makeup,Online,2838
0246,4/26/2024,Skincare,Online,10646
0247,2/23/2023,Skincare,Offline,7079
0248,03-04-2024,Skincare,Offline,7443
0249,3/14/2024,Makeup,Offline,2785
0250,9/30/2023,BodyCare,Offline,6744
0251,10/21/2023,Skincare,Offline,10291
0252,10-10-2024,Makeup,Offline,10381
0253,01-11-2023,Skincare,Online,538
0254,6/19/2023,Haircare,Online,10680
0255,11-07-2023,Makeup,Online,3784
0256,02-11-2024,Haircare,Online,3104
0257,5/31/2023,Makeup,Offline,9000
0258,11/20/2023,Makeup,Online,5911
0259,8/26/2023,Skincare,Online,2677
0260,04-04-2023,Makeup,Online,8058
0261,4/18/2023,Haircare,Online,8954
0262,7/30/2023,Skincare,Online,9230
0263,11/18/2024,Skincare,Online,6383
0264,7/15/2024,Skincare,Online,10342
0265,06-05-2023,BodyCare,Offline,10337
0266,10-12-2023,BodyCare,Offline,2327
0267,02-01-2024,Makeup,Offline,9196
0268,6/25/2023,Skincare,Online,6019
0269,01-08-2023,Skincare,Online,3980
0270,11/21/2023,Makeup,Online,1511
0271,2/23/2024,Skincare,Offline,2817
0272,2/28/2023,Haircare,Offline,1079
0273,9/29/2023,Skincare,Online,10175
0274,03-02-2023,BodyCare,Online,5421
0275,09-04-2023,Skincare,Online,7469
0276,9/26/2024,BodyCare,Online,2481
0277,7/14/2023,Makeup,Online,9010
0278,12/21/2023,Haircare,Offline,7119
0279,11/15/2023,Makeup,Online,6693
0280,7/15/2023,Skincare,Online,7007
0281,05-10-2023,Makeup,Online,8319
0282,12/27/2023,Skincare,Offline,4378
0283,02-09-2024,Haircare,Online,10593
0284,11/16/2023,BodyCare,Online,2532
0285,12-01-2023,BodyCare,Online,10179
0286,04-01-2023,Makeup,Online,520
0287,01-08-2024,Haircare,Online,4232
0288,1/18/2023,BodyCare,Online,10702
0289,03-10-2023,BodyCare,Online,3555
0290,03-10-2024,Haircare,Online,7214
0291,1/15/2023,Skincare,Online,5161
0292,09-06-2024,Skincare,Online,6081
0293,02-10-2023,Makeup,Online,6124
0294,11/16/2024,Makeup,Offline,9856
0295,3/29/2024,BodyCare,Online,8797
0296,4/22/2023,Haircare,Online,8673
0297,02-06-2023,Haircare,Online,7351
0298,06-09-2023,Makeup,Online,3569
0299,4/23/2023,Makeup,Offline,1234
0300,01-05-2024,Makeup,Online,9172
0301,1/20/2024,Makeup,Offline,2158
0302,7/23/2023,Haircare,Offline,9189
0303,7/13/2024,Makeup,Offline,2178
0304,11/23/2023,BodyCare,Online,5720
0305,3/26/2024,BodyCare,Online,7022
0306,10/27/2024,Makeup,Online,4466
0307,4/21/2024,Makeup,Online,4180
0308,1/29/2023,Skincare,Offline,7990
0309,06-02-2024,BodyCare,Offline,3030
0310,11-10-2023,Makeup,Online,1288
0311,1/29/2023,Makeup,Offline,2844
0312,12/15/2023,Skincare,Online,9007
0313,11-11-2024,BodyCare,Online,3422
0314,09-08-2023,BodyCare,Online,8405
0315,7/20/2023,BodyCare,Online,1946
0316,1/16/2024,Skincare,Offline,2878
0317,11/28/2023,BodyCare,Online,434
0318,5/15/2024,Skincare,Offline,5278
0319,11/19/2024,BodyCare,Offline,5089
0320,06-03-2023,Skincare,Online,6354
0321,1/25/2024,Skincare,Online,9995
0322,7/29/2024,Skincare,Online,6352
0323,3/22/2024,Skincare,Online,3970
0324,11/19/2024,Makeup,Offline,746
0325,02-01-2023,Makeup,Online,7409
0326,11/23/2024,Skincare,Offline,1931
0327,8/21/2023,Skincare,Offline,7025
0328,05-12-2023,Makeup,Offline,2586
0329,5/23/2023,Makeup,Online,9648
0330,8/31/2023,BodyCare,Online,9841
0331,3/16/2024,BodyCare,Online,9767
0332,05-12-2023,Skincare,Online,10372
0333,2/25/2023,Haircare,Offline,8016
0334,10/25/2023,Makeup,Online,5496
0335,9/24/2024,Makeup,Offline,8446
0336,11/17/2023,BodyCare,Online,3337
0337,1/28/2023,Makeup,Online,1657
0338,10/31/2023,BodyCare,Online,5583
0339,3/13/2023,Haircare,Offline,3843
0340,10/27/2023,Makeup,Offline,8352
0341,11/19/2023,Haircare,Offline,4047
0342,1/30/2024,Makeup,Offline,8568
0343,08-04-2024,Haircare,Online,5560
0344,08-12-2024,BodyCare,Online,945
0345,06-09-2024,Haircare,Offline,10040
0346,06-09-2024,Skincare,Online,2741
0347,3/20/2023,Skincare,Online,10893
0348,2/18/2023,Makeup,Offline,10508
0349,4/23/2024,Makeup,Online,5159
0350,3/17/2023,BodyCare,Online,7485
0351,07-07-2023,Makeup,Online,995
0352,08-12-2023,Makeup,Online,5770
0353,04-06-2023,Skincare,Offline,8108
0354,02-04-2024,Makeup,Offline,7505
0355,08-08-2024,Skincare,Online,4832
0356,06-02-2023,Makeup,Offline,3228
0357,02-02-2024,Skincare,Online,4923
0358,06-07-2024,Skincare,Offline,3122
0359,10-08-2024,Skincare,Online,9837
0360,04-02-2023,BodyCare,Online,6451
0361,01-06-2024,Haircare,Offline,1925
0362,9/21/2023,BodyCare,Offline,6890
0363,2/13/2024,Makeup,Online,6102
0364,8/16/2023,Makeup,Offline,5454
0365,08-11-2024,Skincare,Online,10588
0366,07-04-2024,Makeup,Offline,5430
0367,8/17/2023,Haircare,Offline,9988
0368,2/24/2023,Makeup,Online,732
0369,11/17/2023,Haircare,Online,7445
0370,12-10-2023,Makeup,Offline,8082
0371,10/16/2024,Makeup,Offline,10536
0372,4/13/2023,Makeup,Online,10382
0373,3/20/2023,Makeup,Offline,8257
0374,4/23/2023,BodyCare,Offline,749
0375,4/27/2024,BodyCare,Online,9531
0376,6/18/2023,Skincare,Online,3263
0377,12/21/2023,Skincare,Online,5067
0378,8/28/2024,Skincare,Online,9226
0379,11/26/2024,Haircare,Online,4927
0380,3/26/2023,Skincare,Offline,3324
0381,4/14/2023,Makeup,Online,5735
0382,12/19/2023,BodyCare,Offline,8173
0383,09-07-2023,BodyCare,Online,7755
0384,06-12-2023,Skincare,Offline,4050
0385,3/26/2023,Haircare,Offline,1154
0386,10/16/2023,BodyCare,Online,525
0387,05-01-2024,Skincare,Online,6938
0388,11/20/2023,Haircare,Offline,3025
0389,1/15/2024,Skincare,Online,3445
0390,07-06-2023,Makeup,Online,4850
0391,04-07-2023,Makeup,Online,1594
0392,08-04-2024,BodyCare,Online,10097
0393,01-06-2023,Haircare,Online,7526
0394,7/23/2023,Makeup,Offline,10521
0395,05-03-2024,Skincare,Offline,5944
0396,10/29/2024,Makeup,Offline,1587
0397,07-03-2024,Makeup,Online,5148
0398,01-12-2023,Makeup,Offline,446
0399,04-05-2023,Makeup,Online,8380
0400,04-11-2024,Skincare,Online,9091
0401,6/14/2024,Skincare,Offline,9043
0402,08-04-2023,BodyCare,Offline,10988
0403,4/14/2024,Makeup,Online,2779
0404,06-06-2024,Makeup,Online,10096
0405,4/22/2023,BodyCare,Offline,2912
0406,02-05-2023,Makeup,Online,7133
0407,10/24/2023,BodyCare,Offline,3091
0408,1/20/2024,Makeup,Online,1166
0409,07-09-2023,BodyCare,Online,10333
0410,06-07-2023,Haircare,Offline,5654
0411,02-12-2024,Makeup,Online,1930
0412,5/31/2024,Makeup,Online,5580
0413,3/23/2024,Skincare,Offline,9777
0414,11/14/2024,Skincare,Offline,9731
0415,11/16/2023,Skincare,Online,9217
0416,4/30/2024,BodyCare,Offline,4317
0417,11/18/2023,Skincare,Online,9103
0418,11-09-2024,Skincare,Online,10257
0419,12/26/2023,Skincare,Online,2466
0420,7/21/2023,Makeup,Online,5854
0421,10/20/2023,Skincare,Online,6339
0422,3/22/2024,Haircare,Online,5432
0423,6/27/2023,Skincare,Online,5407
0424,11/23/2023,Makeup,Online,410
0425,05-03-2023,Makeup,Online,5700
0426,6/29/2023,BodyCare,Offline,2833
0427,7/21/2023,Makeup,Online,6465
0428,5/25/2024,Skincare,Offline,7251
0429,4/25/2024,Makeup,Offline,5315
0430,5/17/2023,Makeup,Offline,803
0431,3/26/2023,Makeup,Online,7851
0432,9/24/2023,Makeup,Offline,10722
0433,4/17/2024,Skincare,Online,3268
0434,3/13/2024,Skincare,Offline,6650
0435,1/15/2023,Haircare,Offline,10491
0436,07-02-2023,Makeup,Online,6906
0437,3/14/2023,BodyCare,Online,592
0438,01-08-2023,Makeup,Online,9861
0439,03-11-2023,Skincare,Online,4112
0440,8/14/2023,Makeup,Offline,6026
0441,2/13/2023,Skincare,Online,2493
0442,04-03-2024,Skincare,Offline,3094
0443,8/24/2024,Makeup,Offline,10571
0444,2/27/2024,BodyCare,Offline,6953
0445,10-05-2023,Skincare,Offline,9880
0446,10-02-2023,Makeup,Offline,8327
0447,3/20/2024,Skincare,Online,6354
0448,09-03-2024,Skincare,Offline,7401
0449,03-12-2024,Makeup,Offline,1630
0450,11-02-2023,Skincare,Online,8326
0451,9/29/2024,Makeup,Online,748
0452,9/17/2024,Haircare,Online,9604
0453,8/30/2023,Skincare,Online,7155
0454,9/30/2024,Makeup,Online,2504
0455,11/16/2024,Skincare,Offline,5572
0456,06-08-2024,Makeup,Online,3169
0457,3/31/2024,Makeup,Offline,4615
0458,10/18/2023,Makeup,Online,10527
0459,6/19/2024,Skincare,Online,558
0460,10-09-2023,Skincare,Online,6144
0461,8/18/2023,Skincare,Online,8755
0462,02-02-2023,BodyCare,Online,8274
0463,12/15/2023,BodyCare,Online,4229
0464,05-08-2023,Makeup,Online,2571
0465,4/24/2023,Makeup,Offline,3769
0466,09-03-2024,Skincare,Online,5365
0467,1/26/2023,Skincare,Online,4542
0468,9/21/2023,Haircare,Offline,538
0469,7/16/2024,Makeup,Online,8877
0470,3/21/2023,Skincare,Online,922
0471,5/28/2023,Haircare,Online,1764
0472,5/31/2023,Haircare,Online,8312
0473,10/20/2023,Makeup,Online,10869
0474,04-01-2023,Haircare,Online,4409
0475,11-02-2023,BodyCare,Offline,5208
0476,07-09-2024,Skincare,Online,5168
0477,02-03-2024,Skincare,Online,1430
0478,5/30/2023,Skincare,Offline,5488
0479,09-08-2024,Makeup,Offline,10251
0480,9/20/2024,Makeup,Offline,1877
0481,2/15/2023,Makeup,Online,1076
0482,05-04-2023,Skincare,Online,10176
0483,2/22/2023,Skincare,Online,3495
0484,11-07-2024,Makeup,Online,10948
0485,12-10-2023,Haircare,Offline,2988
0486,6/13/2024,Skincare,Offline,5263
0487,11-08-2023,Makeup,Offline,9401
0488,10-07-2023,Haircare,Offline,6604
0489,10/29/2023,Makeup,Online,7596
0490,1/23/2023,Skincare,Online,6357
0491,4/15/2023,Skincare,Online,1794
0492,09-02-2023,Makeup,Online,5216
0493,09-08-2023,BodyCare,Online,4561
0494,6/19/2024,Skincare,Online,8674
0495,12/26/2023,Skincare,Online,4185
0496,8/24/2024,Skincare,Offline,8036
0497,08-06-2024,Makeup,Online,7645
0498,2/24/2024,Haircare,Online,586
0499,10/26/2024,BodyCare,Online,3220
0500,1/27/2023,Skincare,Offline,10335
0501,12/29/2023,Skincare,Offline,2688
0502,10/22/2023,Haircare,Online,1761
0503,03-06-2024,Skincare,Offline,7552
0504,11/20/2023,BodyCare,Offline,10536
0505,10/31/2024,Skincare,Online,2264
0506,2/21/2024,Skincare,Online,7846
0507,3/13/2023,Skincare,Online,8164
0508,8/24/2024,Makeup,Online,4981
0509,01-10-2023,Makeup,Online,1965
0510,01-02-2023,BodyCare,Online,8581
0511,5/19/2023,Skincare,Online,5927
0512,11/19/2024,Makeup,Offline,10733
0513,7/29/2023,Makeup,Offline,7321
0514,12/30/2023,Haircare,Offline,3348
0515,06-04-2023,Haircare,Offline,10791
0516,6/29/2024,Haircare,Offline,4946
0517,05-08-2024,BodyCare,Offline,3826
0518,07-08-2023,Makeup,Offline,9065
0519,9/23/2023,Makeup,Online,7032
0520,10/14/2023,Makeup,Offline,9009
0521,1/19/2024,Haircare,Offline,5757
0522,04-04-2023,Makeup,Offline,6451
0523,07-07-2024,BodyCare,Offline,7805
0524,01-07-2024,Skincare,Online,3151
0525,5/18/2024,Skincare,Online,1960
0526,03-05-2023,BodyCare,Offline,9455
0527,8/24/2023,Skincare,Online,6640
0528,11/27/2024,Makeup,Online,8953
0529,5/17/2023,BodyCare,Offline,2218
0530,3/30/2024,Skincare,Online,7949
0531,05-12-2023,Makeup,Offline,4163
0532,6/13/2023,Haircare,Offline,8644
0533,06-06-2024,Makeup,Offline,7359
0534,01-09-2023,Makeup,Online,4765
0535,11/27/2024,Makeup,Online,4825
0536,11/29/2023,Makeup,Online,10639
0537,01-08-2024,Makeup,Online,10637
0538,02-11-2023,Haircare,Online,3503
0539,05-09-2023,Haircare,Online,3443
0540,07-08-2023,Makeup,Offline,8227
0541,04-12-2023,Makeup,Online,4936
0542,6/19/2024,Haircare,Online,1718
0543,11/28/2023,Makeup,Online,8034
0544,03-10-2024,Skincare,Online,9624
0545,03-11-2024,BodyCare,Offline,4012
0546,2/28/2024,Makeup,Online,6923
0547,6/14/2023,Skincare,Offline,6050
0548,07-03-2024,Skincare,Offline,5437
0549,12/31/2023,Skincare,Online,5705
0550,1/18/2023,Haircare,Offline,777
0551,11/14/2023,Haircare,Online,8019
0552,11/29/2023,Skincare,Online,4155
0553,11/23/2023,Haircare,Offline,7033
0554,09-03-2023,Makeup,Offline,7085
0555,09-06-2024,Skincare,Offline,713
0556,4/24/2023,Skincare,Offline,1875
0557,06-09-2024,Makeup,Online,6181
0558,10/27/2024,Makeup,Online,6197
0559,12/30/2023,Skincare,Offline,9448
0560,3/25/2023,Skincare,Online,5676
0561,8/28/2023,Makeup,Online,7872
0562,4/21/2023,Makeup,Online,5789
0563,12/29/2023,Haircare,Online,588
0564,07-09-2024,Skincare,Offline,8476
0565,10/22/2024,Makeup,Offline,9716
0566,4/14/2023,Haircare,Online,9806
0567,7/25/2023,Skincare,Online,10063
0568,6/30/2024,Haircare,Online,10691
0569,2/16/2024,Skincare,Offline,10802
0570,9/21/2023,Skincare,Online,10525
0571,04-02-2023,Skincare,Offline,2068
0572,7/16/2024,Makeup,Offline,8580
0573,4/29/2023,Skincare,Offline,8867
0574,9/22/2023,BodyCare,Online,6450
0575,03-03-2023,Makeup,Online,10584
0576,7/31/2023,Haircare,Online,4077
0577,02-08-2023,BodyCare,Offline,3464
0578,1/23/2023,Makeup,Online,5551
0579,10-07-2024,Makeup,Offline,7007
0580,9/27/2024,BodyCare,Online,801
0581,04-08-2023,Makeup,Online,10034
0582,06-01-2023,Makeup,Online,8547
0583,01-04-2024,BodyCare,Online,3583
0584,08-09-2023,Haircare,Offline,2232
0585,5/31/2024,Skincare,Online,5586
0586,01-10-2024,Skincare,Online,5937
0587,03-11-2024,Makeup,Offline,8649
0588,11-01-2024,Makeup,Online,6013
0589,10/13/2023,Skincare,Online,1900
0590,01-08-2024,Makeup,Offline,6542
0591,01-11-2024,Makeup,Offline,5114
0592,10-03-2024,Makeup,Online,2200
0593,9/24/2024,BodyCare,Online,1950
0594,5/20/2024,Haircare,Online,8945
0595,11-05-2023,Makeup,Online,7030
0596,10-09-2024,BodyCare,Online,4612
0597,2/27/2024,Skincare,Online,936
0598,7/27/2023,Haircare,Online,2834
0599,01-07-2023,Makeup,Online,3858
0600,12-12-2023,Skincare,Online,7714
0601,5/29/2023,Makeup,Online,1656
0602,7/15/2023,Makeup,Online,5522
0603,10/23/2024,Makeup,Offline,5367
0604,08-05-2023,Makeup,Offline,9869
0605,07-10-2023,Makeup,Online,2153
0606,01-09-2024,Makeup,Offline,6210
0607,6/19/2024,Haircare,Online,9143
0608,7/14/2024,Haircare,Online,6901
0609,9/14/2024,Makeup,Online,4028
0610,1/20/2024,BodyCare,Online,8464
0611,8/15/2023,Makeup,Online,5229
0612,10/30/2024,Makeup,Online,1043
0613,2/13/2023,Makeup,Online,1499
0614,6/25/2024,Makeup,Offline,995
0615,9/29/2023,Skincare,Online,460
0616,07-01-2024,Skincare,Online,7975
0617,9/26/2024,Makeup,Online,9516
0618,12-02-2023,Skincare,Offline,5715
0619,02-03-2024,BodyCare,Online,7693
0620,10/14/2024,Makeup,Offline,7099
0621,10-06-2024,Skincare,Offline,1293
0622,03-03-2024,Makeup,Online,2898
0623,08-07-2024,Makeup,Online,1962
0624,3/17/2024,Makeup,Offline,1244
0625,6/17/2024,Makeup,Online,4598
0626,10/20/2024,BodyCare,Offline,9847
0627,06-11-2023,Makeup,Online,9545
0628,07-02-2023,Skincare,Offline,800
0629,6/17/2023,BodyCare,Offline,5310
0630,11/24/2023,BodyCare,Offline,8815
0631,08-10-2024,Skincare,Online,7678
0632,9/19/2023,Skincare,Offline,1245
0633,06-10-2024,Skincare,Online,9916
0634,03-10-2023,Makeup,Online,3191
0635,11/22/2023,Makeup,Online,8690
0636,11-04-2024,Skincare,Offline,5695
0637,8/21/2023,Makeup,Online,9378
0638,7/22/2023,Skincare,Online,8506
0639,7/23/2024,BodyCare,Online,6900
0640,5/25/2023,Skincare,Offline,3420
0641,11/24/2024,Skincare,Online,7243
0642,12/19/2023,Makeup,Online,9472
0643,7/23/2024,Skincare,Online,5867
0644,7/13/2024,Makeup,Online,7212
0645,11/24/2024,Makeup,Offline,8202
0646,05-10-2024,Skincare,Online,1529
0647,10/19/2024,Skincare,Online,4143
0648,12/13/2023,Makeup,Online,9964
0649,5/15/2023,Skincare,Online,4727
0650,08-12-2024,Skincare,Offline,1124
0651,3/23/2023,Makeup,Online,10648
