CustomerID,support_interacation_count,problem type,support_resolution_time,resolution_satisfication
0087,3,Late Delivery,13,5
0088,9,Product Quality,13,9
0089,7,Side Effects,7,9
0090,9,Product Quality,3,8
0091,3,Product Quality,9,10
0092,1,Product Quality,23,3
0093,2,Late Delivery,20,2
0094,8,Side Effects,10,8
0095,4,Product Quality,9,10
0096,4,Late Delivery,8,10
0097,8,Product Quality,9,3
0098,3,Product Quality,4,2
0099,9,Product Quality,10,3
0100,10,Product Quality,22,2
0101,7,Product Quality,3,6
0102,5,Product Quality,14,7
0103,1,Product Quality,10,5
0104,7,Side Effects,2,4
0105,2,Product Quality,4,3
0106,1,Product Quality,18,8
0107,6,Product Quality,13,7
0108,5,Late Delivery,12,10
0109,7,Product Quality,7,7
0110,5,Product Quality,14,5
0111,3,Late Delivery,18,1
0112,4,Product Quality,3,5
0113,3,Side Effects,7,9
0114,7,Product Quality,9,7
0115,1,Side Effects,22,6
0116,9,Late Delivery,7,3
0117,2,Late Delivery,22,1
0118,5,Side Effects,11,3
0119,1,Late Delivery,10,10
0120,9,Late Delivery,14,9
0121,5,Late Delivery,14,4
0122,10,Late Delivery,16,3
0123,8,Side Effects,13,6
0124,5,Late Delivery,5,9
0125,1,Wrong Item Received,13,5
0126,6,Product Quality,23,2
0127,8,Product Quality,12,9
0128,2,Product Quality,14,3
0129,1,Other,13,3
0130,2,Product Quality,17,9
0131,1,Late Delivery,19,10
0132,5,Late Delivery,1,4
0133,5,Late Delivery,19,4
0134,3,Product Quality,21,3
0135,8,Product Quality,14,3
0136,4,Late Delivery,10,8
0137,5,Product Quality,22,6
0138,8,Product Quality,9,8
0139,3,Product Quality,7,2
0140,9,Wrong Item Received,6,6
0141,6,Late Delivery,3,7
0142,5,Product Quality,5,3
0143,7,Late Delivery,19,4
0144,4,Late Delivery,22,1
0145,10,Product Quality,18,1
0146,1,Product Quality,6,9
0147,10,Late Delivery,18,6
0148,5,Product Quality,4,4
0149,3,Product Quality,4,10
0150,10,Product Quality,8,7
0151,1,Product Quality,17,10
0152,10,Late Delivery,12,7
0153,9,Late Delivery,10,5
0154,3,Product Quality,5,10
0155,1,Side Effects,17,7
0156,4,Product Quality,5,4
0157,8,Product Quality,17,3
0158,2,Product Quality,4,2
0159,2,Product Quality,20,6
0160,10,Product Quality,11,5
0161,4,Wrong Item Received,11,6
0162,4,Wrong Item Received,21,3
0163,10,Late Delivery,19,1
0164,5,Side Effects,20,3
0165,4,Other,1,3
0166,1,Late Delivery,9,8
0167,7,Side Effects,4,6
0168,6,Side Effects,5,4
0169,9,Late Delivery,7,5
0170,10,Product Quality,7,2
0171,7,Product Quality,6,9
0172,3,Product Quality,1,9
0173,9,Product Quality,6,9
0174,9,Product Quality,24,2
0175,3,Product Quality,11,9
0176,3,Side Effects,18,3
0177,4,Late Delivery,22,3
0178,6,Product Quality,12,3
0179,4,Product Quality,6,6
0180,6,Product Quality,12,10
0181,9,Product Quality,20,6
0182,8,Other,13,3
0183,4,Late Delivery,19,1
0184,3,Product Quality,2,4
0185,10,Product Quality,21,8
0186,9,Product Quality,7,6
0187,8,Product Quality,18,7
0188,10,Side Effects,9,4
0189,5,Wrong Item Received,18,10
0190,7,Product Quality,13,10
0191,6,Late Delivery,19,9
0192,5,Product Quality,22,4
0193,7,Product Quality,8,6
0194,10,Product Quality,14,2
0195,1,Product Quality,23,8
0196,3,Product Quality,7,10
0197,9,Other,16,8
0198,5,Product Quality,17,8
0199,2,Late Delivery,9,10
0200,10,Product Quality,16,7
0201,10,Product Quality,11,4
0202,4,Late Delivery,9,8
0203,1,Side Effects,18,9
0204,5,Product Quality,8,6
0205,5,Product Quality,17,5
0206,1,Wrong Item Received,21,3
0207,3,Other,23,2
0208,10,Product Quality,13,10
0209,7,Late Delivery,4,2
0210,4,Product Quality,21,8
0211,4,Product Quality,11,4
0212,9,Product Quality,20,4
0213,7,Late Delivery,4,10
0214,8,Product Quality,3,9
0215,1,Other,6,3
0216,6,Product Quality,13,4
0217,1,Side Effects,18,4
0218,8,Late Delivery,20,2
0219,4,Late Delivery,10,10
0220,4,Product Quality,22,10
0221,5,Other,22,7
0222,3,Late Delivery,23,5
0223,10,Other,3,7
0224,7,Late Delivery,22,9
0225,9,Product Quality,10,4
0226,4,Product Quality,21,4
0227,10,Product Quality,24,8
0228,4,Side Effects,1,1
0229,3,Late Delivery,2,1
0230,8,Late Delivery,5,9
0231,3,Side Effects,7,7
0232,1,Product Quality,21,7
0233,3,Other,1,2
0234,5,Product Quality,1,9
0235,5,Product Quality,8,1
0236,7,Late Delivery,7,3
0237,5,Late Delivery,21,9
0238,7,Side Effects,24,8
0239,7,Late Delivery,18,1
0240,3,Product Quality,23,6
0241,4,Product Quality,23,3
0242,9,Late Delivery,24,2
0243,9,Late Delivery,4,10
0244,6,Product Quality,8,1
0245,10,Product Quality,22,4
0246,2,Side Effects,5,3
0247,10,Product Quality,6,1
0248,6,Product Quality,21,5
0249,10,Product Quality,1,1
0250,6,Side Effects,3,2
0251,10,Product Quality,16,3
0252,1,Late Delivery,16,3
0253,5,Product Quality,3,2
0254,6,Side Effects,11,4
0255,3,Side Effects,11,3
0256,3,Side Effects,22,1
0257,1,Other,9,1
0258,9,Product Quality,3,4
0259,9,Side Effects,16,2
0260,4,Product Quality,1,10
0261,8,Product Quality,17,3
0262,2,Late Delivery,12,8
0263,9,Late Delivery,23,9
0264,5,Wrong Item Received,13,9
0265,9,Product Quality,9,1
0266,6,Product Quality,11,2
0267,10,Late Delivery,7,6
0268,8,Product Quality,9,2
0269,7,Wrong Item Received,24,10
0270,6,Wrong Item Received,17,4
0271,2,Product Quality,11,2
0272,3,Product Quality,21,10
0273,4,Product Quality,17,3
0274,6,Product Quality,4,2
0275,8,Side Effects,15,10
0276,5,Side Effects,24,2
0277,2,Late Delivery,12,5
0278,1,Late Delivery,13,9
0279,10,Other,5,6
0280,7,Product Quality,21,10
0281,8,Late Delivery,3,10
0282,2,Product Quality,3,8
0283,10,Product Quality,2,10
0284,9,Product Quality,18,8
0285,6,Product Quality,12,6
0286,9,Product Quality,15,6
0287,5,Wrong Item Received,13,10
0288,4,Side Effects,5,1
0289,8,Late Delivery,7,4
0290,2,Product Quality,19,6
0291,4,Other,13,8
0292,1,Product Quality,22,8
0293,3,Side Effects,12,10
0294,9,Product Quality,24,10
0295,8,Late Delivery,2,8
0296,5,Late Delivery,13,2
0297,2,Other,7,3
0298,3,Wrong Item Received,22,6
0299,6,Product Quality,20,2
0300,8,Late Delivery,7,10
0301,5,Product Quality,9,2
0302,5,Product Quality,20,9
0303,4,Product Quality,16,9
0304,10,Side Effects,1,2
0305,5,Other,21,8
0306,6,Product Quality,3,5
0307,3,Side Effects,3,9
0308,5,Product Quality,3,8
0309,5,Late Delivery,2,9
0310,6,Product Quality,21,4
0311,1,Late Delivery,19,6
0312,3,Product Quality,12,9
0313,6,Side Effects,22,2
0314,6,Product Quality,9,3
0315,2,Product Quality,11,9
0316,10,Product Quality,11,7
0317,2,Product Quality,15,8
0318,7,Product Quality,5,9
0319,7,Product Quality,20,7
0320,6,Late Delivery,8,7
0321,6,Late Delivery,10,4
0322,1,Product Quality,9,3
0323,1,Late Delivery,16,3
0324,6,Product Quality,7,2
0325,8,Wrong Item Received,13,7
0326,1,Product Quality,13,7
0327,1,Late Delivery,19,8
0328,7,Product Quality,13,3
0329,5,Product Quality,12,10
0330,10,Product Quality,5,4
0331,4,Product Quality,22,4
0332,4,Late Delivery,10,4
0333,1,Product Quality,19,7
0334,8,Product Quality,15,5
0335,10,Side Effects,10,8
0336,10,Late Delivery,7,10
0337,9,Late Delivery,13,3
0338,8,Late Delivery,7,3
0339,10,Side Effects,22,8
0340,8,Product Quality,20,5
0341,7,Product Quality,14,10
0342,5,Product Quality,17,2
0343,2,Side Effects,19,7
0344,3,Product Quality,9,5
0345,8,Side Effects,9,8
0346,9,Product Quality,21,3
0347,2,Side Effects,23,4
0348,10,Product Quality,17,6
0349,3,Product Quality,13,8
0350,7,Wrong Item Received,15,4
0351,3,Product Quality,16,5
0352,2,Product Quality,21,1
0353,1,Side Effects,7,5
0354,6,Product Quality,24,9
0355,8,Product Quality,8,9
0356,6,Product Quality,15,2
0357,3,Late Delivery,22,5
0358,4,Side Effects,19,6
0359,4,Product Quality,3,4
0360,7,Product Quality,21,3
0361,9,Side Effects,4,8
0362,6,Side Effects,4,6
0363,4,Late Delivery,5,2
0364,2,Late Delivery,3,6
0365,8,Product Quality,8,3
0366,4,Late Delivery,7,9
0367,6,Late Delivery,20,9
0368,7,Other,9,8
0369,10,Product Quality,3,9
0370,3,Product Quality,3,3
0371,3,Late Delivery,3,8
0372,3,Product Quality,14,9
0373,4,Product Quality,20,7
0374,5,Product Quality,20,10
0375,3,Product Quality,2,4
0376,10,Other,10,7
0377,7,Late Delivery,21,4
0378,10,Side Effects,8,6
0379,2,Side Effects,12,7
0380,10,Late Delivery,5,1
0381,2,Product Quality,15,4
0382,5,Side Effects,13,1
0383,2,Product Quality,15,8
0384,3,Wrong Item Received,22,5
0385,7,Product Quality,5,7
0386,6,Product Quality,23,5
0387,9,Product Quality,18,8
0388,10,Late Delivery,3,1
0389,8,Product Quality,24,6
0390,3,Late Delivery,14,8
0391,10,Product Quality,20,4
0392,7,Late Delivery,19,3
0393,8,Product Quality,11,9
0394,6,Late Delivery,5,8
0395,4,Late Delivery,20,8
0396,9,Side Effects,18,5
0397,8,Other,9,5
0398,9,Side Effects,5,1
0399,9,Product Quality,16,7
0400,4,Product Quality,16,4
0401,3,Other,16,9
0402,4,Wrong Item Received,14,2
0403,8,Product Quality,2,1
0404,3,Product Quality,15,7
0405,4,Product Quality,7,5
0406,2,Side Effects,15,9
0407,5,Product Quality,6,7
0408,10,Wrong Item Received,4,8
0409,1,Side Effects,22,4
0410,10,Product Quality,16,9
0411,9,Late Delivery,17,10
0412,7,Side Effects,22,2
0413,7,Product Quality,7,1
0414,8,Product Quality,19,1
0415,8,Wrong Item Received,16,2
0416,6,Product Quality,12,1
0417,10,Side Effects,22,8
0418,9,Late Delivery,23,9
0419,4,Product Quality,23,8
0420,10,Side Effects,11,1
0421,4,Product Quality,1,7
0422,10,Product Quality,20,5
0423,4,Product Quality,2,10
0424,7,Product Quality,23,1
0425,2,Late Delivery,9,4
0426,5,Side Effects,8,9
0427,1,Product Quality,4,1
0428,8,Other,14,1
0429,5,Side Effects,3,1
0430,6,Product Quality,3,4
0431,2,Product Quality,23,4
0432,6,Product Quality,15,5
0433,1,Side Effects,14,6
0434,4,Product Quality,10,4
0435,2,Late Delivery,7,4
0436,5,Late Delivery,21,3
0437,4,Product Quality,9,7
0438,9,Late Delivery,3,3
0439,3,Product Quality,4,6
0440,8,Product Quality,14,3
0441,10,Product Quality,17,7
0442,7,Product Quality,21,9
0443,7,Product Quality,9,4
0444,2,Product Quality,2,4
0445,9,Product Quality,3,9
0446,7,Late Delivery,23,4
0447,7,Product Quality,19,4
0448,7,Side Effects,3,5
0449,10,Product Quality,21,4
0450,1,Product Quality,1,4
0451,7,Late Delivery,15,9
0452,4,Side Effects,13,8
0453,7,Product Quality,16,9
0454,4,Product Quality,6,8
0455,8,Product Quality,2,5
0456,8,Late Delivery,3,2
0457,7,Late Delivery,2,9
0458,1,Product Quality,12,9
0459,7,Late Delivery,12,8
0460,7,Product Quality,7,5
0461,2,Side Effects,7,1
0462,9,Product Quality,3,4
0463,8,Product Quality,6,7
0464,7,Late Delivery,14,9
0465,2,Side Effects,5,1
0466,3,Product Quality,3,2
0467,3,Product Quality,5,5
0468,5,Late Delivery,5,10
0469,5,Side Effects,7,10
0470,1,Side Effects,8,3
0471,9,Side Effects,11,6
0472,5,Late Delivery,15,3
0473,6,Other,11,1
0474,4,Product Quality,11,6
0475,5,Product Quality,17,3
0476,9,Product Quality,17,3
0477,6,Product Quality,2,10
0478,5,Product Quality,11,3
0479,8,Product Quality,7,5
0480,6,Product Quality,4,1
0481,1,Late Delivery,3,8
0482,8,Product Quality,18,6
0483,6,Late Delivery,7,7
0484,7,Late Delivery,19,6
0485,2,Product Quality,8,9
0486,9,Side Effects,16,6
0487,8,Product Quality,21,3
0488,1,Side Effects,20,6
0489,4,Late Delivery,21,2
0490,3,Wrong Item Received,1,6
0491,9,Late Delivery,23,10
0492,5,Product Quality,3,10
0493,8,Wrong Item Received,17,10
0494,1,Product Quality,9,9
0495,2,Product Quality,14,8
0496,2,Product Quality,3,7
0497,8,Product Quality,24,6
0498,2,Late Delivery,19,2
0499,3,Other,4,7
0500,3,Product Quality,14,8
0501,9,Side Effects,8,7
0502,9,Product Quality,13,3
0503,4,Side Effects,12,8
0504,5,Late Delivery,8,8
0505,1,Product Quality,19,4
0506,5,Other,13,4
0507,4,Product Quality,24,8
0508,3,Wrong Item Received,23,6
0509,1,Other,21,5
0510,9,Product Quality,18,7
0511,6,Side Effects,12,5
0512,4,Side Effects,23,4
0513,1,Product Quality,3,8
0514,8,Product Quality,10,6
0515,6,Late Delivery,2,7
0516,1,Product Quality,4,9
0517,5,Side Effects,15,7
0518,2,Late Delivery,4,10
0519,10,Side Effects,22,9
0520,6,Side Effects,12,4
0521,9,Side Effects,11,3
0522,6,Wrong Item Received,22,5
0523,7,Side Effects,8,8
0524,8,Late Delivery,5,2
0525,3,Product Quality,19,5
0526,6,Product Quality,9,1
0527,4,Other,24,4
0528,9,Product Quality,24,2
0529,2,Side Effects,20,5
0530,4,Product Quality,20,6
0531,9,Late Delivery,21,1
0532,10,Product Quality,19,5
0533,3,Late Delivery,7,9
0534,2,Product Quality,24,6
0535,9,Product Quality,17,2
0536,3,Late Delivery,20,1
0537,4,Product Quality,24,3
0538,8,Side Effects,20,9
0539,3,Late Delivery,4,1
0540,2,Product Quality,13,9
0541,9,Product Quality,18,1
0542,6,Late Delivery,13,9
0543,4,Other,1,6
0544,1,Late Delivery,17,1
0545,5,Product Quality,20,8
0546,5,Side Effects,9,2
0547,1,Product Quality,6,2
0548,7,Product Quality,10,10
0549,3,Late Delivery,14,9
0550,5,Late Delivery,9,9
0551,5,Late Delivery,4,5
0552,9,Other,12,9
0553,5,Product Quality,23,1
0554,9,Side Effects,2,3
0555,3,Product Quality,19,6
0556,10,Wrong Item Received,11,2
0557,5,Product Quality,19,8
0558,1,Side Effects,1,3
0559,10,Product Quality,20,4
0560,5,Side Effects,4,1
0561,8,Product Quality,3,8
0562,7,Product Quality,17,10
0563,1,Other,8,1
0564,6,Product Quality,15,1
0565,10,Product Quality,14,3
0566,3,Late Delivery,15,6
0567,1,Late Delivery,12,6
0568,7,Product Quality,9,1
0569,4,Product Quality,8,1
0570,10,Side Effects,14,3
0571,3,Late Delivery,14,9
0572,2,Product Quality,17,3
0573,6,Late Delivery,5,6
0574,1,Product Quality,12,8
0575,7,Product Quality,19,6
0576,2,Wrong Item Received,3,6
0577,4,Late Delivery,18,7
0578,9,Product Quality,24,10
0579,4,Product Quality,1,2
0580,7,Side Effects,12,2
0581,6,Product Quality,9,1
0582,9,Other,24,6
0583,5,Wrong Item Received,19,1
0584,2,Product Quality,22,3
0585,8,Product Quality,19,6
0586,3,Product Quality,6,5
0587,2,Product Quality,5,2
0588,2,Late Delivery,5,1
0589,7,Product Quality,3,9
0590,3,Product Quality,15,6
0591,3,Late Delivery,15,4
0592,10,Product Quality,17,6
0593,3,Late Delivery,23,8
0594,6,Late Delivery,16,7
0595,4,Product Quality,9,6
0596,1,Side Effects,1,3
0597,8,Product Quality,16,6
0598,4,Product Quality,11,8
0599,9,Late Delivery,19,5
0600,9,Side Effects,21,3
0601,7,Product Quality,15,9
0602,4,Product Quality,13,6
0603,4,Product Quality,3,4
0604,1,Product Quality,18,4
0605,9,Product Quality,5,6
0606,2,Product Quality,22,8
0607,8,Product Quality,3,3
0608,7,Other,3,8
0609,2,Product Quality,15,5
0610,3,Product Quality,13,4
0611,9,Product Quality,23,4
0612,9,Late Delivery,9,6
0613,3,Product Quality,8,4
0614,9,Late Delivery,22,1
0615,4,Wrong Item Received,6,9
0616,3,Product Quality,11,8
0617,9,Late Delivery,7,2
0618,4,Product Quality,7,2
0619,4,Product Quality,23,8
0620,6,Product Quality,3,2
0621,4,Product Quality,20,4
0622,5,Product Quality,2,8
0623,6,Side Effects,11,10
0624,8,Product Quality,18,1
0625,6,Product Quality,19,5
0626,5,Other,18,4
0627,7,Product Quality,14,5
0628,1,Side Effects,4,5
0629,6,Product Quality,16,7
0630,1,Product Quality,7,3
0631,7,Product Quality,21,6
0632,9,Late Delivery,3,3
0633,3,Late Delivery,2,7
0634,10,Side Effects,2,6
0635,2,Product Quality,7,8
0636,5,Product Quality,9,6
0637,1,Product Quality,6,7
0638,6,Late Delivery,17,3
0639,8,Side Effects,2,9
0640,6,Product Quality,13,5
0641,4,Side Effects,13,4
0642,4,Product Quality,4,9
0643,2,Late Delivery,6,5
0644,9,Late Delivery,23,8
0645,10,Product Quality,9,5
0646,9,Product Quality,16,9
0647,2,Side Effects,6,2
0648,3,Product Quality,11,7
0649,8,Late Delivery,13,9
0650,4,Side Effects,10,2
0651,8,Side Effects,14,7
0652,9,Side Effects,16,5
0653,10,Product Quality,10,4
0654,2,Product Quality,3,5
0655,2,Late Delivery,10,8
0656,9,Other,14,7
0657,1,Wrong Item Received,19,10
0658,9,Side Effects,19,5
0659,6,Product Quality,21,10
0660,4,Wrong Item Received,9,10
0661,4,Wrong Item Received,8,2
0662,1,Product Quality,13,10
0663,5,Product Quality,10,7
0664,1,Product Quality,22,5
0665,4,Late Delivery,2,2
0666,7,Product Quality,7,3
0667,7,Product Quality,13,5
0668,5,Wrong Item Received,18,9
0669,8,Side Effects,11,7
0670,1,Product Quality,23,10
0671,5,Other,4,1
0672,5,Late Delivery,10,1
0673,4,Product Quality,19,1
0674,2,Product Quality,3,7
0675,3,Product Quality,2,10
0676,1,Product Quality,12,3
0677,10,Side Effects,1,2
0678,6,Product Quality,18,7
0679,8,Side Effects,11,3
0680,7,Product Quality,4,5
0681,7,Product Quality,21,4
0682,4,Late Delivery,18,8
0683,3,Product Quality,6,9
0684,3,Late Delivery,3,1
0685,1,Late Delivery,6,10
0686,1,Product Quality,1,10
0687,9,Side Effects,2,7
0688,2,Product Quality,21,3
0689,2,Product Quality,8,9
0690,6,Product Quality,23,6
0691,2,Product Quality,12,1
0692,3,Product Quality,23,2
0693,8,Product Quality,20,4
0694,4,Product Quality,17,4
0695,10,Late Delivery,6,10
0696,3,Side Effects,5,1
0697,9,Side Effects,2,3
0698,9,Product Quality,20,1
0699,7,Late Delivery,19,1
0700,10,Product Quality,6,8
0701,6,Side Effects,7,7
0702,8,Late Delivery,8,4
0703,2,Late Delivery,1,6
0704,5,Product Quality,1,5
0705,9,Wrong Item Received,20,2
0706,9,Product Quality,6,3
0707,9,Side Effects,7,8
0708,3,Side Effects,21,8
0709,6,Product Quality,6,3
0710,10,Late Delivery,14,1
0711,9,Product Quality,23,4
0712,10,Product Quality,16,9
0713,4,Product Quality,12,5
0714,7,Side Effects,23,3
0715,4,Product Quality,11,8
0716,9,Product Quality,22,10
0717,3,Product Quality,2,5
0718,5,Product Quality,16,10
0719,2,Side Effects,20,6
0720,9,Product Quality,14,7
0721,7,Side Effects,16,6
0722,2,Late Delivery,11,6
0723,6,Side Effects,23,10
0724,3,Side Effects,12,6
0725,1,Product Quality,10,3
0726,2,Product Quality,14,3
0727,6,Product Quality,22,9
0728,10,Side Effects,24,2
0729,10,Product Quality,4,1
0730,6,Late Delivery,3,6
0731,7,Side Effects,8,5
0732,10,Late Delivery,17,10
0733,3,Product Quality,8,1
0734,1,Side Effects,3,5
0735,2,Late Delivery,23,9
0736,4,Other,10,2
0737,8,Product Quality,7,2
0738,6,Late Delivery,7,1
0739,9,Side Effects,24,3
0740,2,Side Effects,8,2
0741,3,Late Delivery,16,6
0742,6,Side Effects,7,1
0743,4,Product Quality,23,7
0744,9,Side Effects,1,1
0745,9,Wrong Item Received,17,8
0746,7,Late Delivery,4,3
0747,3,Product Quality,4,10
0748,6,Product Quality,16,1
0749,2,Side Effects,13,10
0750,7,Product Quality,24,10
0751,3,Other,6,7
0752,6,Product Quality,24,6
0753,1,Product Quality,13,3
0754,3,Late Delivery,7,5
0755,6,Product Quality,22,4
0756,6,Product Quality,11,1
0757,2,Product Quality,20,4
0758,8,Product Quality,16,2
0759,6,Product Quality,16,1
0760,1,Late Delivery,5,10
0761,4,Side Effects,2,10
0762,1,Product Quality,18,5
0763,8,Side Effects,4,10
0764,9,Other,5,3
0765,4,Side Effects,14,6
0766,7,Side Effects,21,8
0767,8,Other,20,3
0768,8,Product Quality,1,1
0769,4,Product Quality,5,7
0770,4,Late Delivery,13,3
0771,6,Product Quality,5,1
0772,2,Side Effects,24,9
0773,7,Product Quality,6,1
0774,2,Side Effects,7,4
0775,5,Product Quality,9,2
0776,6,Product Quality,20,1
0777,10,Product Quality,14,9
0778,8,Late Delivery,12,7
0779,9,Product Quality,12,10
0780,7,Late Delivery,4,7
0781,3,Late Delivery,9,7
0782,3,Other,14,4
0783,4,Other,12,8
0784,3,Wrong Item Received,3,10
0785,4,Side Effects,13,9
0786,1,Product Quality,11,1
0787,3,Product Quality,10,10
0788,4,Product Quality,24,1
0789,2,Late Delivery,6,5
0790,9,Late Delivery,12,1
0791,9,Late Delivery,3,4
0792,10,Side Effects,16,2
0793,8,Late Delivery,6,1
0794,4,Product Quality,6,5
0795,8,Product Quality,6,9
0796,1,Product Quality,21,2
0797,7,Other,14,1
0798,6,Product Quality,18,2
0799,4,Product Quality,5,5
0800,8,Product Quality,10,3
0801,10,Product Quality,4,7
0802,4,Product Quality,19,4
0803,9,Product Quality,24,1
0804,2,Other,8,6
0805,7,Product Quality,24,1
0806,9,Late Delivery,19,9
0807,2,Wrong Item Received,18,1
0808,10,Late Delivery,9,6
0809,10,Product Quality,14,2
0810,5,Product Quality,14,5
0811,5,Product Quality,18,2
0812,4,Wrong Item Received,20,5
0813,9,Product Quality,24,4
0814,8,Product Quality,2,2
0815,6,Product Quality,1,8
0816,8,Product Quality,5,3
0817,1,Other,8,9
0818,2,Side Effects,23,2
0819,4,Side Effects,8,3
0820,9,Late Delivery,20,3
0821,3,Late Delivery,18,10
0822,9,Product Quality,4,2
0823,5,Product Quality,13,5
0824,8,Side Effects,1,3
0825,2,Product Quality,5,7
0826,3,Other,24,5
0827,6,Product Quality,21,5
0828,3,Side Effects,10,8
0829,3,Product Quality,1,6
0830,6,Product Quality,21,3
0831,10,Product Quality,11,2
0832,3,Other,19,8
0833,5,Late Delivery,22,8
0834,9,Late Delivery,8,1
0835,3,Product Quality,22,2
0836,3,Other,5,9
0837,6,Side Effects,1,4
0838,8,Late Delivery,1,10
0839,8,Product Quality,19,7
0840,2,Late Delivery,3,6
0841,1,Product Quality,3,10
0842,6,Side Effects,19,5
0843,8,Late Delivery,14,3
0844,9,Side Effects,8,10
0845,3,Product Quality,17,1
0846,4,Product Quality,2,8
0847,1,Side Effects,11,7
0848,9,Product Quality,10,1
0849,5,Late Delivery,10,3
0850,10,Late Delivery,16,9
0851,3,Product Quality,8,2
0852,1,Late Delivery,19,2
0853,8,Product Quality,18,9
0854,8,Other,15,3
0855,1,Product Quality,2,8
0856,10,Side Effects,16,2
0857,7,Late Delivery,4,7
0858,10,Product Quality,19,5
0859,10,Late Delivery,5,4
0860,3,Product Quality,9,6
0861,10,Late Delivery,4,9
0862,10,Product Quality,1,8
0863,2,Late Delivery,4,10
0864,5,Late Delivery,12,1
0865,4,Product Quality,23,3
0866,1,Side Effects,22,3
0867,7,Late Delivery,12,4
0868,3,Late Delivery,19,6
0869,10,Late Delivery,21,3
0870,6,Product Quality,3,6
0871,1,Product Quality,24,3
0872,10,Late Delivery,8,10
0873,9,Product Quality,23,10
0874,8,Late Delivery,14,6
0875,2,Product Quality,11,1
0876,9,Product Quality,13,7
0877,4,Side Effects,10,5
0878,8,Product Quality,20,1
0879,4,Product Quality,6,4
0880,8,Late Delivery,4,2
0881,5,Product Quality,1,6
0882,5,Late Delivery,13,3
0883,9,Late Delivery,20,6
0884,1,Product Quality,13,8
0885,3,Product Quality,8,5
0886,1,Product Quality,24,2
0887,7,Product Quality,22,10
0888,9,Product Quality,20,8
0889,1,Product Quality,17,5
0890,5,Wrong Item Received,4,10
0891,1,Product Quality,21,3
0892,8,Late Delivery,24,1
0893,2,Product Quality,15,2
0894,3,Other,21,8
0895,3,Product Quality,2,7
0896,7,Side Effects,2,7
0897,4,Product Quality,13,10
0898,5,Late Delivery,7,6
0899,7,Product Quality,24,8
0900,8,Late Delivery,12,8
0901,6,Product Quality,12,2
0902,3,Late Delivery,14,9
0903,6,Product Quality,12,9
0904,4,Product Quality,9,4
0905,1,Side Effects,6,9
0906,10,Late Delivery,22,4
0907,5,Product Quality,20,8
0908,2,Product Quality,20,7
0909,8,Product Quality,8,5
0910,4,Product Quality,17,8
0911,7,Product Quality,3,9
0912,5,Product Quality,6,10
0913,4,Side Effects,8,10
0914,10,Product Quality,5,4
0915,6,Late Delivery,19,2
0916,2,Product Quality,9,2
